m,run,item,value_player0,value_player1,value_player2,value_player3,value_player4,rr_allocation,astar_allocation,rr_player_order,value_range
10,0,0,62,53,112,88,40,2,2,"[1, 3, 0, 2, 4]",40-120
10,0,1,29,11,46,24,11,4,2,"[1, 3, 0, 2, 4]",10-50
10,0,2,31,47,47,27,42,2,2,"[1, 3, 0, 2, 4]",10-50
10,0,3,284,191,333,180,325,3,4,"[1, 3, 0, 2, 4]",150-400
10,0,4,111,140,102,152,183,4,1,"[1, 3, 0, 2, 4]",100-200
10,0,5,119,107,147,159,152,0,3,"[1, 3, 0, 2, 4]",100-200
10,0,6,72,82,88,107,103,3,3,"[1, 3, 0, 2, 4]",40-120
10,0,7,47,30,45,20,14,0,2,"[1, 3, 0, 2, 4]",10-50
10,0,8,78,103,109,104,115,1,1,"[1, 3, 0, 2, 4]",40-120
10,0,9,394,324,260,365,169,1,0,"[1, 3, 0, 2, 4]",150-400
10,1,0,184,166,397,221,155,1,2,"[4, 1, 3, 0, 2]",150-400
10,1,1,163,139,122,130,141,0,1,"[4, 1, 3, 0, 2]",100-200
10,1,2,47,29,34,38,50,3,4,"[4, 1, 3, 0, 2]",10-50
10,1,3,33,40,29,35,12,0,1,"[4, 1, 3, 0, 2]",10-50
10,1,4,162,112,176,182,164,3,4,"[4, 1, 3, 0, 2]",100-200
10,1,5,90,84,55,119,86,4,3,"[4, 1, 3, 0, 2]",40-120
10,1,6,42,54,64,80,48,1,3,"[4, 1, 3, 0, 2]",40-120
10,1,7,379,161,398,264,240,4,0,"[4, 1, 3, 0, 2]",150-400
10,1,8,26,12,43,21,46,2,4,"[4, 1, 3, 0, 2]",10-50
10,1,9,103,83,67,99,54,2,3,"[4, 1, 3, 0, 2]",40-120
10,2,0,335,315,318,212,240,2,0,"[4, 2, 0, 1, 3]",150-400
10,2,1,181,179,119,191,144,0,3,"[4, 2, 0, 1, 3]",100-200
10,2,2,312,389,250,336,326,4,1,"[4, 2, 0, 1, 3]",150-400
10,2,3,72,40,94,120,47,3,3,"[4, 2, 0, 1, 3]",40-120
10,2,4,22,19,47,13,42,3,2,"[4, 2, 0, 1, 3]",10-50
