m,seed,rr_nash_log,rr_utilitarian,rr_egalitarian,rr_time,astar_nash_log,astar_utilitarian,astar_egalitarian,astar_time,astar_nodes,astar_leaves,astar_solutions,astar_converged,astar_improved,astar_is_ef1
10,0,27.188250861932072,1233,159,3.075599670410156e-05,28.375652969093064,1478,243,0.025786876678466797,96,1,1,True,True,True
10,1,26.57901950398308,1072,110,6.532669067382812e-05,28.38454408960846,1513,179,0.007810115814208984,28,1,1,True,True,True
10,2,27.660615990296186,1379,133,2.9087066650390625e-05,28.644513004836643,1556,229,0.0031890869140625,19,1,1,True,True,True
10,3,27.618437548952773,1383,155,2.5987625122070312e-05,28.22499579551521,1428,224,0.012941360473632812,86,1,1,True,True,True
10,4,27.231340545078755,1363,89,2.4080276489257812e-05,28.20125430690768,1420,246,0.005514860153198242,42,1,1,True,True,True
10,5,27.054908180799544,1235,121,3.337860107421875e-05,28.435949857548774,1507,218,0.0024671554565429688,20,1,1,True,True,True
10,6,27.385647369045163,1324,151,2.2649765014648438e-05,28.23501799208769,1453,198,0.005983591079711914,52,1,1,True,True,True
10,7,27.77332824543481,1392,156,2.8848648071289062e-05,28.343903463391626,1452,239,0.00719904899597168,60,1,1,True,True,True
10,8,27.54897127938683,1332,146,2.3126602172851562e-05,28.354360042922284,1460,235,0.002330303192138672,19,1,1,True,True,True
10,9,27.256643327145433,1235,152,2.2411346435546875e-05,28.158670490039107,1411,220,0.016311168670654297,120,1,1,True,True,True
10,10,27.442338914058006,1282,136,2.4318695068359375e-05,28.144301328654326,1434,220,0.013812541961669922,112,1,1,True,True,True
10,11,27.207547997494633,1219,137,2.5272369384765625e-05,28.11911267439208,1391,231,0.015826940536499023,129,1,1,True,True,True
10,12,27.24265127351832,1313,109,2.5033950805664062e-05,28.369307984283633,1473,228,0.005472660064697266,47,1,1,True,True,True
10,13,27.445886471326688,1355,97,2.5510787963867188e-05,28.49098886960073,1526,226,0.005066871643066406,40,1,1,True,True,True
10,14,27.060250384896726,1234,117,2.384185791015625e-05,27.890452087295195,1325,233,0.008777379989624023,73,1,1,True,True,True
10,15,27.78941433897164,1418,151,2.3126602172851562e-05,28.28880461459361,1448,217,0.006387233734130859,55,1,1,True,True,True
10,16,27.664448819862116,1366,146,2.3126602172851562e-05,28.43629421197207,1513,192,0.002583742141723633,22,1,1,True,True,True
10,17,27.159857954115083,1234,141,2.2411346435546875e-05,28.359846158650164,1462,233,0.006319761276245117,48,1,1,True,True,True
10,18,27.09993656869351,1238,113,2.3365020751953125e-05,28.378303414906338,1492,216,0.0031332969665527344,26,1,1,True,True,True
10,19,27.7228582637331,1393,142,4.2438507080078125e-05,28.556122089730117,1531,241,0.003592967987060547,28,1,1,True,True,True
10,20,27.64731198421081,1415,107,2.3365020751953125e-05,28.35841211774326,1490,182,0.004321098327636719,35,1,1,True,True,True
10,21,27.688836676022817,1306,162,2.3126602172851562e-05,28.16974826747333,1409,241,0.004880666732788086,43,1,1,True,True,True
10,22,27.06080324095293,1177,158,2.3603439331054688e-05,28.546124039918148,1528,234,0.003618955612182617,31,1,1,True,True,True
10,23,27.5241395156879,1280,155,2.5033950805664062e-05,28.436627272929787,1503,203,0.008201360702514648,64,1,1,True,True,True
10,24,26.944024401216957,1126,132,3.4332275390625e-05,27.760635064938782,1296,215,0.004276275634765625,36,1,1,True,True,True
10,25,27.699916673085415,1374,160,2.2411346435546875e-05,28.481766529357486,1515,233,0.002377748489379883,20,1,1,True,True,True
10,26,26.67432115527214,1104,107,3.075599670410156e-05,27.929599546489754,1350,205,0.008116722106933594,65,1,1,True,True,True
10,27,26.830743414468635,1158,122,2.3603439331054688e-05,28.413971685724455,1508,202,0.00357818603515625,28,1,1,True,True,True
10,28,26.72767756639359,1149,120,2.4318695068359375e-05,28.081830732025136,1415,197,0.003467082977294922,27,1,1,True,True,True
10,29,26.823703614121733,1227,140,2.2649765014648438e-05,28.21180239137746,1418,232,0.006522655487060547,52,1,1,True,True,True
10,30,27.43348279946757,1308,128,2.4318695068359375e-05,28.53431417820692,1534,223,0.0042266845703125,29,1,1,True,True,True
10,31,27.303166703485303,1263,152,3.409385681152344e-05,28.224696505358263,1441,214,0.011098861694335938,52,1,1,True,True,True
10,32,26.900060544657663,1198,131,2.3365020751953125e-05,28.330298714506114,1489,205,0.006097555160522461,51,1,1,True,True,True
10,33,27.433697898142015,1289,141,2.3365020751953125e-05,28.57235227597549,1535,230,0.002699613571166992,23,1,1,True,True,True
10,34,27.567806070371745,1337,147,2.2172927856445312e-05,28.079253345244485,1400,207,0.009752988815307617,79,1,1,True,True,True
