m,seed,rr_nash_log,rr_utilitarian,rr_egalitarian,rr_time,rr_is_ef1,rr_is_ef,astar_nash_log,astar_utilitarian,astar_egalitarian,astar_time,astar_nodes,astar_leaves,astar_solutions,astar_converged,astar_improved,astar_is_ef1,astar_is_ef,rr_player_order
10,0,27.188250861932072,1233,159,5.626678466796875e-05,True,False,28.375652969093064,1478,243,0.0183131694793701,96,1,1,True,True,True,False,"[1, 3, 0, 2, 4]"
10,1,26.57901950398308,1072,110,2.789497375488281e-05,True,False,28.38454408960846,1513,179,0.0044715404510498,28,1,1,True,True,True,False,"[4, 1, 3, 0, 2]"
10,2,27.660615990296183,1379,133,2.646446228027344e-05,True,False,28.644513004836643,1556,229,0.0027298927307128,19,1,1,True,True,True,False,"[4, 2, 0, 1, 3]"
10,3,27.618437548952773,1383,155,2.47955322265625e-05,True,False,28.22499579551521,1428,224,0.013420820236206,86,1,1,True,True,True,False,"[2, 3, 4, 0, 1]"
10,4,27.231340545078755,1363,89,3.0040740966796875e-05,True,False,28.20125430690768,1420,246,0.0066070556640625,42,1,1,True,True,True,False,"[1, 0, 2, 3, 4]"
10,5,27.054908180799544,1235,121,2.694129943847656e-05,True,False,28.43594985754877,1507,218,0.0031039714813232,20,1,1,True,True,True,False,"[2, 1, 0, 3, 4]"
10,6,27.385647369045163,1324,151,2.5272369384765625e-05,True,False,28.23501799208769,1453,198,0.0076887607574462,52,1,1,True,True,True,False,"[4, 2, 3, 0, 1]"
10,7,27.77332824543481,1392,156,2.47955322265625e-05,True,False,28.343903463391623,1452,239,0.0090658664703369,60,1,1,True,True,True,False,"[1, 3, 0, 4, 2]"
10,8,27.54897127938683,1332,146,2.574920654296875e-05,True,False,28.354360042922284,1460,235,0.0031085014343261,19,1,1,True,True,True,False,"[0, 2, 4, 3, 1]"
10,9,27.256643327145436,1235,152,2.5272369384765625e-05,True,False,28.158670490039107,1411,220,0.0203890800476074,120,1,1,True,True,True,False,"[4, 0, 3, 1, 2]"
10,10,27.44233891405801,1282,136,2.5987625122070312e-05,True,False,28.14430132865433,1434,220,0.020350694656372,112,1,1,True,True,True,False,"[3, 1, 0, 2, 4]"
