label,level,F,G,H,allocation_vector,utilities_vector,log_utilities_vector,pruned,prune_reason
N1,0,28.7882,0.0,28.7882,"[None, None, None, None, None, None, None, None, None, None]","[0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0]",False,
S1,1,28.4349,5.5797,22.8551,"[None, None, None, 0, None, None, None, None, None, None]","[264, 0, 0, 0, 0]","[5.5797, 0.0, 0.0, 0.0, 0.0]",False,
N11,1,28.5554,5.7071,22.8483,"[None, None, None, 1, None, None, None, None, None, None]","[0, 300, 0, 0, 0]","[0.0, 5.7071, 0.0, 0.0, 0.0]",False,
S34,2,27.8604,10.8662,16.9942,"[None, None, None, 1, None, None, 0, None, None, None]","[173, 300, 0, 0, 0]","[5.1591, 5.7071, 0.0, 0.0, 0.0]",False,
S35,2,27.7137,6.3063,21.4074,"[None, None, None, 1, None, None, 1, None, None, None]","[0, 547, 0, 0, 0]","[0.0, 6.3063, 0.0, 0.0, 0.0]",False,
S36,2,27.8643,10.8719,16.9924,"[None, None, None, 1, None, None, 2, None, None, None]","[0, 300, 174, 0, 0]","[0.0, 5.7071, 5.1648, 0.0, 0.0]",False,
S37,2,28.1193,11.196,16.9232,"[None, None, None, 1, None, None, 3, None, None, None]","[0, 300, 0, 241, 0]","[0.0, 5.7071, 0.0, 5.4889, 0.0]",False,
N14,2,28.5275,11.6125,16.9151,"[None, None, None, 1, None, None, 4, None, None, None]","[0, 300, 0, 0, 366]","[0.0, 5.7071, 0.0, 0.0, 5.9054]",False,
S47,3,28.2363,16.4,11.8363,"[None, None, None, 1, None, 0, 4, None, None, None]","[119, 300, 0, 0, 366]","[4.7875, 5.7071, 0.0, 0.0, 5.9054]",False,
S48,3,28.081,11.9645,16.1166,"[None, None, None, 1, None, 1, 4, None, None, None]","[0, 427, 0, 0, 366]","[0.0, 6.0591, 0.0, 0.0, 5.9054]",False,
N15,3,28.5275,16.9007,11.6268,"[None, None, None, 1, None, 2, 4, None, None, None]","[0, 300, 197, 0, 366]","[0.0, 5.7071, 5.2883, 0.0, 5.9054]",False,
N16,4,28.5275,22.0712,6.4563,"[0, None, None, 1, None, 2, 4, None, None, None]","[175, 300, 197, 0, 366]","[5.1705, 5.7071, 5.2883, 0.0, 5.9054]",False,
S55,5,28.4077,22.4614,5.9463,"[0, None, None, 1, None, 2, 4, 0, None, None]","[259, 300, 197, 0, 366]","[5.5607, 5.7071, 5.2883, 0.0, 5.9054]",False,
