label,level,F,G,H,allocation_vector,utilities_vector,log_utilities_vector,pruned,prune_reason
N1,0,28.6796,0.0,28.6796,"[None, None, None, None, None, None, None, None, None, None]","[0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0]",False,
N2,1,28.6537,5.9296,22.7241,"[None, None, None, None, None, None, None, None, None, 0]","[375, 0, 0, 0, 0]","[5.9296, 0.0, 0.0, 0.0, 0.0]",False,
S3,2,28.021,6.5338,21.4872,"[None, None, 0, None, None, None, None, None, None, 0]","[687, 0, 0, 0, 0]","[6.5338, 0.0, 0.0, 0.0, 0.0]",False,
S4,2,28.2523,11.2329,17.0194,"[None, None, 1, None, None, None, None, None, None, 0]","[375, 200, 0, 0, 0]","[5.9296, 5.3033, 0.0, 0.0, 0.0]",False,
N14,2,28.4866,11.5093,16.9772,"[None, None, 2, None, None, None, None, None, None, 0]","[375, 0, 264, 0, 0]","[5.9296, 0.0, 5.5797, 0.0, 0.0]",False,
S49,3,28.1238,11.9023,16.2215,"[None, None, 2, None, 0, None, None, None, None, 0]","[556, 0, 264, 0, 0]","[6.3226, 0.0, 5.5797, 0.0, 0.0]",False,
S50,3,28.1759,16.1915,11.9845,"[None, None, 2, None, 1, None, None, None, None, 0]","[375, 107, 264, 0, 0]","[5.9296, 4.6821, 5.5797, 0.0, 0.0]",False,
S51,3,28.2401,12.0186,16.2215,"[None, None, 2, None, 2, None, None, None, None, 0]","[375, 0, 440, 0, 0]","[5.9296, 0.0, 6.089, 0.0, 0.0]",False,
S52,3,28.4003,16.6333,11.767,"[None, None, 2, None, 3, None, None, None, None, 0]","[375, 0, 264, 167, 0]","[5.9296, 0.0, 5.5797, 5.124, 0.0]",False,
N15,3,28.4866,16.7668,11.7198,"[None, None, 2, None, 4, None, None, None, None, 0]","[375, 0, 264, 0, 191]","[5.9296, 0.0, 5.5797, 0.0, 5.2575]",False,
S53,4,28.0594,17.1269,10.9325,"[None, None, 2, None, 4, None, None, None, 0, 0]","[538, 0, 264, 0, 191]","[6.2897, 0.0, 5.5797, 0.0, 5.2575]",False,
S54,4,28.222,21.611,6.611,"[None, None, 2, None, 4, None, None, None, 1, 0]","[375, 126, 264, 0, 191]","[5.9296, 4.8442, 5.5797, 0.0, 5.2575]",False,
S55,4,28.065,17.1325,10.9325,"[None, None, 2, None, 4, None, None, None, 2, 0]","[375, 0, 381, 0, 191]","[5.9296, 0.0, 5.9454, 0.0, 5.2575]",False,
S56,4,28.2898,21.7435,6.5463,"[None, None, 2, None, 4, None, None, None, 3, 0]","[375, 0, 264, 144, 191]","[5.9296, 0.0, 5.5797, 4.9767, 5.2575]",False,
S57,4,28.3946,17.4755,10.9192,"[None, None, 2, None, 4, None, None, None, 4, 0]","[375, 0, 264, 0, 389]","[5.9296, 0.0, 5.5797, 0.0, 5.9661]",False,
S5,2,28.1492,11.0886,17.0605,"[None, None, 3, None, None, None, None, None, None, 0]","[375, 0, 0, 173, 0]","[5.9296, 0.0, 0.0, 5.1591, 0.0]",False,
S6,2,28.1877,11.1445,17.0431,"[None, None, 4, None, None, None, None, None, None, 0]","[375, 0, 0, 0, 183]","[5.9296, 0.0, 0.0, 0.0, 5.2149]",False,
S1,1,28.28,5.5491,22.7309,"[None, None, None, None, None, None, None, None, None, 1]","[0, 256, 0, 0, 0]","[0.0, 5.5491, 0.0, 0.0, 0.0]",False,
N3,1,28.5906,5.8665,22.7241,"[None, None, None, None, None, None, None, None, None, 2]","[0, 0, 352, 0, 0]","[0.0, 0.0, 5.8665, 0.0, 0.0]",False,
N4,2,28.5876,11.6127,16.975,"[None, None, 0, None, None, None, None, None, None, 2]","[312, 0, 352, 0, 0]","[5.7462, 0.0, 5.8665, 0.0, 0.0]",False,
S11,3,28.2905,12.069,16.2215,"[None, None, 0, None, 0, None, None, None, None, 2]","[493, 0, 352, 0, 0]","[6.2025, 0.0, 5.8665, 0.0, 0.0]",False,
S12,3,28.2793,16.2948,11.9845,"[None, None, 0, None, 1, None, None, None, None, 2]","[312, 107, 352, 0, 0]","[5.7462, 4.6821, 5.8665, 0.0, 0.0]",False,
S13,3,28.2387,12.0172,16.2215,"[None, None, 0, None, 2, None, None, None, None, 2]","[312, 0, 528, 0, 0]","[5.7462, 0.0, 6.271, 0.0, 0.0]",False,
N6,3,28.5027,16.7366,11.7661,"[None, None, 0, None, 3, None, None, None, None, 2]","[312, 0, 352, 167, 0]","[5.7462, 0.0, 5.8665, 5.124, 0.0]",False,
S18,4,28.1111,17.1558,10.9552,"[None, None, 0, None, 3, None, None, None, 0, 2]","[475, 0, 352, 167, 0]","[6.1654, 0.0, 5.8665, 5.124, 0.0]",False,
S19,4,28.2325,21.5808,6.6517,"[None, None, 0, None, 3, None, None, None, 1, 2]","[312, 126, 352, 167, 0]","[5.7462, 4.8442, 5.8665, 5.124, 0.0]",False,
S20,4,27.9781,17.0229,10.9552,"[None, None, 0, None, 3, None, None, None, 2, 2]","[312, 0, 469, 167, 0]","[5.7462, 0.0, 6.1527, 5.124, 0.0]",False,
S21,4,28.2748,17.3557,10.9192,"[None, None, 0, None, 3, None, None, None, 3, 2]","[312, 0, 352, 311, 0]","[5.7462, 0.0, 5.8665, 5.743, 0.0]",False,
N7,4,28.5027,22.0299,6.4728,"[None, None, 0, None, 3, None, None, None, 4, 2]","[312, 0, 352, 167, 198]","[5.7462, 0.0, 5.8665, 5.124, 5.2933]",False,
S22,5,28.3081,22.2876,6.0205,"[None, None, 0, None, 3, 0, None, None, 4, 2]","[404, 0, 352, 167, 198]","[6.0039, 0.0, 5.8665, 5.124, 5.2933]",False,
S23,5,28.3139,26.2346,2.0793,"[None, None, 0, None, 3, 1, None, None, 4, 2]","[312, 66, 352, 167, 198]","[5.7462, 4.2047, 5.8665, 5.124, 5.2933]",False,
S24,5,28.3346,22.3141,6.0205,"[None, None, 0, None, 3, 2, None, None, 4, 2]","[312, 0, 468, 167, 198]","[5.7462, 0.0, 6.1506, 5.124, 5.2933]",False,
N8,5,28.5023,22.5585,5.9439,"[None, None, 0, None, 3, 3, None, None, 4, 2]","[312, 0, 352, 284, 198]","[5.7462, 0.0, 5.8665, 5.6525, 5.2933]",False,
S26,6,28.1589,22.7039,5.455,"[None, 0, 0, None, 3, 3, None, None, 4, 2]","[361, 0, 352, 284, 198]","[5.8916, 0.0, 5.8665, 5.6525, 5.2933]",False,
N9,6,28.5023,27.277,1.2254,"[None, 1, 0, None, 3, 3, None, None, 4, 2]","[312, 111, 352, 284, 198]","[5.7462, 4.7185, 5.8665, 5.6525, 5.2933]",False,
S30,7,28.3275,27.5071,0.8204,"[0, 1, 0, None, 3, 3, None, None, 4, 2]","[393, 111, 352, 284, 198]","[5.9764, 4.7185, 5.8665, 5.6525, 5.2933]",False,
S31,7,28.3121,27.6522,0.6599,"[1, 1, 0, None, 3, 3, None, None, 4, 2]","[312, 162, 352, 284, 198]","[5.7462, 5.0938, 5.8665, 5.6525, 5.2933]",False,
S32,7,28.2495,27.4291,0.8204,"[2, 1, 0, None, 3, 3, None, None, 4, 2]","[312, 111, 410, 284, 198]","[5.7462, 4.7185, 6.0186, 5.6525, 5.2933]",False,
S33,7,28.4007,27.5803,0.8204,"[3, 1, 0, None, 3, 3, None, None, 4, 2]","[312, 111, 352, 385, 198]","[5.7462, 4.7185, 5.8665, 5.9558, 5.2933]",False,
S34,7,28.3353,27.5327,0.8026,"[4, 1, 0, None, 3, 3, None, None, 4, 2]","[312, 111, 352, 284, 256]","[5.7462, 4.7185, 5.8665, 5.6525, 5.5491]",False,
S27,6,28.2177,22.7627,5.455,"[None, 2, 0, None, 3, 3, None, None, 4, 2]","[312, 0, 432, 284, 198]","[5.7462, 0.0, 6.0707, 5.6525, 5.2933]",False,
S28,6,28.3038,22.8488,5.455,"[None, 3, 0, None, 3, 3, None, None, 4, 2]","[312, 0, 352, 380, 198]","[5.7462, 0.0, 5.8665, 5.9428, 5.2933]",False,
S29,6,28.2684,22.8746,5.3938,"[None, 4, 0, None, 3, 3, None, None, 4, 2]","[312, 0, 352, 284, 272]","[5.7462, 0.0, 5.8665, 5.6525, 5.6095]",False,
S25,5,28.31,22.3126,5.9974,"[None, None, 0, None, 3, 4, None, None, 4, 2]","[312, 0, 352, 167, 263]","[5.7462, 0.0, 5.8665, 5.124, 5.5759]",False,
N5,3,28.5876,16.8702,11.7175,"[None, None, 0, None, 4, None, None, None, None, 2]","[312, 0, 352, 0, 191]","[5.7462, 0.0, 5.8665, 0.0, 5.2575]",False,
S14,4,28.2218,17.2894,10.9325,"[None, None, 0, None, 4, None, None, None, 0, 2]","[475, 0, 352, 0, 191]","[6.1654, 0.0, 5.8665, 0.0, 5.2575]",False,
S15,4,28.3253,21.7144,6.611,"[None, None, 0, None, 4, None, None, None, 1, 2]","[312, 126, 352, 0, 191]","[5.7462, 4.8442, 5.8665, 0.0, 5.2575]",False,
S16,4,28.0889,17.1564,10.9325,"[None, None, 0, None, 4, None, None, None, 2, 2]","[312, 0, 469, 0, 191]","[5.7462, 0.0, 6.1527, 0.0, 5.2575]",False,
S17,4,28.3931,21.8469,6.5462,"[None, None, 0, None, 4, None, None, None, 3, 2]","[312, 0, 352, 144, 191]","[5.7462, 0.0, 5.8665, 4.9767, 5.2575]",False,
