label,level,F,G,H,allocation_vector,utilities_vector,log_utilities_vector,pruned,prune_reason
N1,0,28.6473,0.0,28.6473,"[None, None, None, None, None, None, None, None, None, None]","[0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0]",False,
N2,1,28.6076,5.9661,22.6414,"[None, None, None, None, 0, None, None, None, None, None]","[389, 0, 0, 0, 0]","[5.9661, 0.0, 0.0, 0.0, 0.0]",False,
S3,2,27.8488,6.5862,21.2627,"[0, None, None, None, 0, None, None, None, None, None]","[724, 0, 0, 0, 0]","[6.5862, 0.0, 0.0, 0.0, 0.0]",False,
S4,2,28.0839,11.2391,16.8447,"[1, None, None, None, 0, None, None, None, None, None]","[389, 194, 0, 0, 0]","[5.9661, 5.273, 0.0, 0.0, 0.0]",False,
N7,2,28.4073,11.6009,16.8064,"[2, None, None, None, 0, None, None, None, None, None]","[389, 0, 279, 0, 0]","[5.9661, 0.0, 5.6348, 0.0, 0.0]",False,
S11,3,27.944,11.9556,15.9885,"[2, None, None, None, 0, 0, None, None, None, None]","[555, 0, 279, 0, 0]","[6.3208, 0.0, 5.6348, 0.0, 0.0]",False,
S12,3,28.1412,16.4372,11.704,"[2, None, None, None, 0, 1, None, None, None, None]","[389, 125, 279, 0, 0]","[5.9661, 4.8363, 5.6348, 0.0, 0.0]",False,
S13,3,28.0945,12.106,15.9885,"[2, None, None, None, 0, 2, None, None, None, None]","[389, 0, 463, 0, 0]","[5.9661, 0.0, 6.1399, 0.0, 0.0]",False,
N50,3,28.2247,16.5914,11.6334,"[2, None, None, None, 0, 3, None, None, None, None]","[389, 0, 279, 146, 0]","[5.9661, 0.0, 5.6348, 4.9904, 0.0]",False,
S149,4,27.8296,16.9351,10.8945,"[2, None, None, None, 0, 3, None, None, 0, None]","[549, 0, 279, 146, 0]","[6.3099, 0.0, 5.6348, 4.9904, 0.0]",False,
S150,4,28.0883,21.4892,6.5991,"[2, None, None, None, 0, 3, None, None, 1, None]","[389, 133, 279, 146, 0]","[5.9661, 4.8978, 5.6348, 4.9904, 0.0]",False,
S151,4,27.9424,17.0479,10.8945,"[2, None, None, None, 0, 3, None, None, 2, None]","[389, 0, 441, 146, 0]","[5.9661, 0.0, 6.0913, 4.9904, 0.0]",False,
N75,4,28.187,17.3503,10.8366,"[2, None, None, None, 0, 3, None, None, 3, None]","[389, 0, 279, 313, 0]","[5.9661, 0.0, 5.6348, 5.7494, 0.0]",False,
S256,5,27.8967,17.5786,10.3181,"[2, None, 0, None, 0, 3, None, None, 3, None]","[489, 0, 279, 313, 0]","[6.1944, 0.0, 5.6348, 5.7494, 0.0]",False,
S257,5,27.9319,21.2624,6.6696,"[2, None, 1, None, 0, 3, None, None, 3, None]","[389, 49, 279, 313, 0]","[5.9661, 3.912, 5.6348, 5.7494, 0.0]",False,
S258,5,27.9817,17.6636,10.3181,"[2, None, 2, None, 0, 3, None, None, 3, None]","[389, 0, 382, 313, 0]","[5.9661, 0.0, 5.948, 5.7494, 0.0]",False,
S259,5,27.903,17.5849,10.3181,"[2, None, 3, None, 0, 3, None, None, 3, None]","[389, 0, 279, 396, 0]","[5.9661, 0.0, 5.6348, 5.9839, 0.0]",False,
S260,5,28.0012,21.5092,6.492,"[2, None, 4, None, 0, 3, None, None, 3, None]","[389, 0, 279, 313, 63]","[5.9661, 0.0, 5.6348, 5.7494, 4.1589]",False,
S152,4,28.076,21.4666,6.6094,"[2, None, None, None, 0, 3, None, None, 4, None]","[389, 0, 279, 146, 130]","[5.9661, 0.0, 5.6348, 4.9904, 4.8752]",False,
N8,3,28.4073,16.8739,11.5334,"[2, None, None, None, 0, 4, None, None, None, None]","[389, 0, 279, 0, 194]","[5.9661, 0.0, 5.6348, 0.0, 5.273]",False,
S14,4,28.0613,17.2177,10.8436,"[2, None, None, None, 0, 4, None, None, 0, None]","[549, 0, 279, 0, 194]","[6.3099, 0.0, 5.6348, 0.0, 5.273]",False,
N29,4,28.2791,21.7718,6.5074,"[2, None, None, None, 0, 4, None, None, 1, None]","[389, 133, 279, 0, 194]","[5.9661, 4.8978, 5.6348, 0.0, 5.273]",False,
S75,5,28.0819,22.0,6.0819,"[2, None, 0, None, 0, 4, None, None, 1, None]","[489, 133, 279, 0, 194]","[6.1944, 4.8978, 5.6348, 0.0, 5.273]",False,
S76,5,28.0636,22.0834,5.9802,"[2, None, 1, None, 0, 4, None, None, 1, None]","[389, 182, 279, 0, 194]","[5.9661, 5.2095, 5.6348, 0.0, 5.273]",False,
N91,5,28.1669,22.085,6.0819,"[2, None, 2, None, 0, 4, None, None, 1, None]","[389, 133, 382, 0, 194]","[5.9661, 4.8978, 5.948, 0.0, 5.273]",False,
S322,6,27.7235,22.2303,5.4932,"[2, None, 2, None, 0, 4, None, 0, 1, None]","[450, 133, 382, 0, 194]","[6.1115, 4.8978, 5.948, 0.0, 5.273]",False,
S323,6,27.8117,22.4129,5.3987,"[2, None, 2, None, 0, 4, None, 1, 1, None]","[389, 185, 382, 0, 194]","[5.9661, 5.2257, 5.948, 0.0, 5.273]",False,
P38,6,27.6799,22.1867,5.4932,"[2, None, 2, None, 0, 4, None, 2, 1, None]","[389, 133, 423, 0, 194]","[5.9661, 4.8978, 6.0497, 0.0, 5.273]",True,אי-היתכנות EF1
N92,6,28.1669,26.8124,1.3545,"[2, None, 2, None, 0, 4, None, 3, 1, None]","[389, 133, 382, 112, 194]","[5.9661, 4.8978, 5.948, 4.7274, 5.273]",False,
S325,7,27.822,26.9797,0.8423,"[2, None, 2, None, 0, 4, None, 3, 1, 0]","[460, 133, 382, 112, 194]","[6.1334, 4.8978, 5.948, 4.7274, 5.273]",False,
S326,7,28.0074,27.2376,0.7698,"[2, None, 2, None, 0, 4, None, 3, 1, 1]","[389, 204, 382, 112, 194]","[5.9661, 5.323, 5.948, 4.7274, 5.273]",False,
S327,7,27.8991,27.0567,0.8423,"[2, None, 2, None, 0, 4, None, 3, 1, 2]","[389, 133, 488, 112, 194]","[5.9661, 4.8978, 6.1924, 4.7274, 5.273]",False,
S328,7,27.8783,27.1413,0.7371,"[2, None, 2, None, 0, 4, None, 3, 1, 3]","[389, 133, 382, 156, 194]","[5.9661, 4.8978, 5.948, 5.0562, 5.273]",False,
S329,7,27.8992,27.0569,0.8423,"[2, None, 2, None, 0, 4, None, 3, 1, 4]","[389, 133, 382, 112, 248]","[5.9661, 4.8978, 5.948, 4.7274, 5.5175]",False,
S324,6,28.0105,22.5224,5.4881,"[2, None, 2, None, 0, 4, None, 4, 1, None]","[389, 133, 382, 0, 301]","[5.9661, 4.8978, 5.948, 0.0, 5.7104]",False,
N64,5,28.2011,26.2026,1.9985,"[2, None, 3, None, 0, 4, None, None, 1, None]","[389, 133, 279, 83, 194]","[5.9661, 4.8978, 5.6348, 4.4308, 5.273]",False,
S208,6,27.8675,26.3479,1.5195,"[2, None, 3, None, 0, 4, None, 0, 1, None]","[450, 133, 279, 83, 194]","[6.1115, 4.8978, 5.6348, 4.4308, 5.273]",False,
S209,6,27.9535,26.5305,1.4231,"[2, None, 3, None, 0, 4, None, 1, 1, None]","[389, 185, 279, 83, 194]","[5.9661, 5.2257, 5.6348, 4.4308, 5.273]",False,
S210,6,27.8588,26.3392,1.5195,"[2, None, 3, None, 0, 4, None, 2, 1, None]","[389, 133, 320, 83, 194]","[5.9661, 4.8978, 5.7714, 4.4308, 5.273]",False,
N65,6,28.2011,27.0499,1.1512,"[2, None, 3, None, 0, 4, None, 3, 1, None]","[389, 133, 279, 195, 194]","[5.9661, 4.8978, 5.6348, 5.2781, 5.273]",False,
S212,7,27.9171,27.2171,0.6999,"[2, None, 3, None, 0, 4, None, 3, 1, 0]","[460, 133, 279, 195, 194]","[6.1334, 4.8978, 5.6348, 5.2781, 5.273]",False,
S213,7,28.0595,27.4751,0.5844,"[2, None, 3, None, 0, 4, None, 3, 1, 1]","[389, 204, 279, 195, 194]","[5.9661, 5.323, 5.6348, 5.2781, 5.273]",False,
S214,7,28.0709,27.3709,0.6999,"[2, None, 3, None, 0, 4, None, 3, 1, 2]","[389, 133, 385, 195, 194]","[5.9661, 4.8978, 5.9558, 5.2781, 5.273]",False,
S215,7,27.9446,27.2524,0.6922,"[2, None, 3, None, 0, 4, None, 3, 1, 3]","[389, 133, 279, 239, 194]","[5.9661, 4.8978, 5.6348, 5.4806, 5.273]",False,
S216,7,27.9858,27.2943,0.6915,"[2, None, 3, None, 0, 4, None, 3, 1, 4]","[389, 133, 279, 195, 248]","[5.9661, 4.8978, 5.6348, 5.2781, 5.5175]",False,
S211,6,28.1524,26.64,1.5124,"[2, None, 3, None, 0, 4, None, 4, 1, None]","[389, 133, 279, 83, 301]","[5.9661, 4.8978, 5.6348, 4.4308, 5.7104]",False,
S77,5,28.1193,22.0517,6.0676,"[2, None, 4, None, 0, 4, None, None, 1, None]","[389, 133, 279, 0, 257]","[5.9661, 4.8978, 5.6348, 0.0, 5.553]",False,
N87,4,28.174,17.3305,10.8436,"[2, None, None, None, 0, 4, None, None, 2, None]","[389, 0, 441, 0, 194]","[5.9661, 0.0, 6.0913, 0.0, 5.273]",False,
S303,5,27.8768,17.5587,10.3181,"[2, None, 0, None, 0, 4, None, None, 2, None]","[489, 0, 441, 0, 194]","[6.1944, 0.0, 6.0913, 0.0, 5.273]",False,
S304,5,27.9121,21.2425,6.6697,"[2, None, 1, None, 0, 4, None, None, 2, None]","[389, 49, 441, 0, 194]","[5.9661, 3.912, 6.0913, 0.0, 5.273]",False,
S305,5,27.858,17.5399,10.3181,"[2, None, 2, None, 0, 4, None, None, 2, None]","[389, 0, 544, 0, 194]","[5.9661, 0.0, 6.3008, 0.0, 5.273]",False,
S306,5,28.0797,21.7613,6.3184,"[2, None, 3, None, 0, 4, None, None, 2, None]","[389, 0, 441, 83, 194]","[5.9661, 0.0, 6.0913, 4.4308, 5.273]",False,
S307,5,27.9285,17.6104,10.3181,"[2, None, 4, None, 0, 4, None, None, 2, None]","[389, 0, 441, 0, 257]","[5.9661, 0.0, 6.0913, 0.0, 5.553]",False,
N9,4,28.4071,21.9979,6.4092,"[2, None, None, None, 0, 4, None, None, 3, None]","[389, 0, 279, 167, 194]","[5.9661, 0.0, 5.6348, 5.124, 5.273]",False,
N54,5,28.2244,22.2262,5.9982,"[2, None, 0, None, 0, 4, None, None, 3, None]","[489, 0, 279, 167, 194]","[6.1944, 0.0, 5.6348, 5.124, 5.273]",False,
S166,6,27.8091,22.3435,5.4656,"[2, None, 0, None, 0, 4, None, 0, 3, None]","[550, 0, 279, 167, 194]","[6.3117, 0.0, 5.6348, 5.124, 5.273]",False,
S167,6,27.9643,26.1965,1.7678,"[2, None, 0, None, 0, 4, None, 1, 3, None]","[489, 52, 279, 167, 194]","[6.1944, 3.9703, 5.6348, 5.124, 5.273]",False,
S168,6,27.8284,22.3628,5.4656,"[2, None, 0, None, 0, 4, None, 2, 3, None]","[489, 0, 320, 167, 194]","[6.1944, 0.0, 5.7714, 5.124, 5.273]",False,
S169,6,28.1519,22.737,5.4149,"[2, None, 0, None, 0, 4, None, 3, 3, None]","[489, 0, 279, 279, 194]","[6.1944, 0.0, 5.6348, 5.6348, 5.273]",False,
S170,6,28.1197,22.6636,5.4561,"[2, None, 0, None, 0, 4, None, 4, 3, None]","[489, 0, 279, 167, 301]","[6.1944, 0.0, 5.6348, 5.124, 5.7104]",False,
N66,5,28.2011,25.9099,2.2912,"[2, None, 1, None, 0, 4, None, None, 3, None]","[389, 49, 279, 167, 194]","[5.9661, 3.912, 5.6348, 5.124, 5.273]",False,
S217,6,27.8675,26.0552,1.8122,"[2, None, 1, None, 0, 4, None, 0, 3, None]","[450, 49, 279, 167, 194]","[6.1115, 3.912, 5.6348, 5.124, 5.273]",False,
S218,6,27.9541,26.6229,1.3312,"[2, None, 1, None, 0, 4, None, 1, 3, None]","[389, 101, 279, 167, 194]","[5.9661, 4.625, 5.6348, 5.124, 5.273]",False,
S219,6,27.8588,26.0466,1.8122,"[2, None, 1, None, 0, 4, None, 2, 3, None]","[389, 49, 320, 167, 194]","[5.9661, 3.912, 5.7714, 5.124, 5.273]",False,
N79,6,28.1823,26.4207,1.7616,"[2, None, 1, None, 0, 4, None, 3, 3, None]","[389, 49, 279, 279, 194]","[5.9661, 3.912, 5.6348, 5.6348, 5.273]",False,
